"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3L55D8AUFCHHB4M2026Z21742MXCYN","327KZ3ZBR5NU0V8QCZWJXUKE4F2PJX","Image Similarity","Select which of two images is most similar to a third image","Image Comparisons","$1.00","Mon Jul 15 16:00:40 PDT 2019","10","BatchId:3705819;OriginalHitTemplateId:920937340;","1800","259200","Tue Jul 16 16:00:40 PDT 2019","","","33C7UALJVOILVFJGX3ONBCWX7Q281S","APF1EAZT104LQ","Submitted","Mon Jul 15 16:01:11 PDT 2019","Mon Jul 15 16:13:43 PDT 2019","Thu Jul 18 16:13:43 PDT 2019","","","","752","0% (0/0)","0% (0/0)","0% (0/0)","XimB7To1KB3fpuUum40x2ehhV38pvA"
"3L55D8AUFCHHB4M2026Z21742MXCYN","327KZ3ZBR5NU0V8QCZWJXUKE4F2PJX","Image Similarity","Select which of two images is most similar to a third image","Image Comparisons","$1.00","Mon Jul 15 16:00:40 PDT 2019","10","BatchId:3705819;OriginalHitTemplateId:920937340;","1800","259200","Tue Jul 16 16:00:40 PDT 2019","","","3483FV8BEH35GMIONSR3WHABT1Y26P","A2658LN9LNAR1D","Submitted","Mon Jul 15 16:32:27 PDT 2019","Mon Jul 15 16:51:00 PDT 2019","Thu Jul 18 16:51:00 PDT 2019","","","","1113","0% (0/0)","0% (0/0)","0% (0/0)","nmoLItrQpsuea7fLemKJcRXuwsk3x2"
"3L55D8AUFCHHB4M2026Z21742MXCYN","327KZ3ZBR5NU0V8QCZWJXUKE4F2PJX","Image Similarity","Select which of two images is most similar to a third image","Image Comparisons","$1.00","Mon Jul 15 16:00:40 PDT 2019","10","BatchId:3705819;OriginalHitTemplateId:920937340;","1800","259200","Tue Jul 16 16:00:40 PDT 2019","","","374TNBHA8EFORPUFVMCWBQS78H1QYN","AG9LWKO86TNHG","Submitted","Mon Jul 15 16:18:09 PDT 2019","Mon Jul 15 16:38:26 PDT 2019","Thu Jul 18 16:38:26 PDT 2019","","","","1217","0% (0/0)","0% (0/0)","0% (0/0)","7aRv6wWIyRaLr6W89j7lemzKh3dLd1"
"3L55D8AUFCHHB4M2026Z21742MXCYN","327KZ3ZBR5NU0V8QCZWJXUKE4F2PJX","Image Similarity","Select which of two images is most similar to a third image","Image Comparisons","$1.00","Mon Jul 15 16:00:40 PDT 2019","10","BatchId:3705819;OriginalHitTemplateId:920937340;","1800","259200","Tue Jul 16 16:00:40 PDT 2019","","","386PBUZZXIHN53J3HH3XKHEPL7GLJA","A10249252O9I20MRSOBVF","Submitted","Mon Jul 15 17:00:57 PDT 2019","Mon Jul 15 17:28:25 PDT 2019","Thu Jul 18 17:28:25 PDT 2019","","","","1648","0% (0/0)","0% (0/0)","0% (0/0)","No code provided - A10249252O9I20MRSOBVF"
"3L55D8AUFCHHB4M2026Z21742MXCYN","327KZ3ZBR5NU0V8QCZWJXUKE4F2PJX","Image Similarity","Select which of two images is most similar to a third image","Image Comparisons","$1.00","Mon Jul 15 16:00:40 PDT 2019","10","BatchId:3705819;OriginalHitTemplateId:920937340;","1800","259200","Tue Jul 16 16:00:40 PDT 2019","","","3FTF2T8WLU2EALITZJJM4YH2N9SW93","A1XBWSV6TWJUU8","Submitted","Mon Jul 15 16:31:16 PDT 2019","Mon Jul 15 16:52:21 PDT 2019","Thu Jul 18 16:52:21 PDT 2019","","","","1265","0% (0/0)","0% (0/0)","0% (0/0)","bLqP6rQ3pRZQqXSqUOynMjSZqvsiVg"
"3L55D8AUFCHHB4M2026Z21742MXCYN","327KZ3ZBR5NU0V8QCZWJXUKE4F2PJX","Image Similarity","Select which of two images is most similar to a third image","Image Comparisons","$1.00","Mon Jul 15 16:00:40 PDT 2019","10","BatchId:3705819;OriginalHitTemplateId:920937340;","1800","259200","Tue Jul 16 16:00:40 PDT 2019","","","3KAKFY4PGXMAUO98TTEXCU5886O3IQ","AKBRH661KPW1R","Submitted","Mon Jul 15 16:12:01 PDT 2019","Mon Jul 15 16:26:21 PDT 2019","Thu Jul 18 16:26:21 PDT 2019","","","","860","0% (0/0)","0% (0/0)","0% (0/0)","tEGhzOwdwflKdO5CDnDh4IW1pB60AN"
"3L55D8AUFCHHB4M2026Z21742MXCYN","327KZ3ZBR5NU0V8QCZWJXUKE4F2PJX","Image Similarity","Select which of two images is most similar to a third image","Image Comparisons","$1.00","Mon Jul 15 16:00:40 PDT 2019","10","BatchId:3705819;OriginalHitTemplateId:920937340;","1800","259200","Tue Jul 16 16:00:40 PDT 2019","","","3RXPCZQMQSV0OUPYG10B3PDVV9F1G1","ARR3UJTM2ZGK4","Submitted","Mon Jul 15 16:01:03 PDT 2019","Mon Jul 15 16:15:43 PDT 2019","Thu Jul 18 16:15:43 PDT 2019","","","","880","0% (0/0)","0% (0/0)","0% (0/0)","kcMPXALSUHzKtpTuBp9Y1YiCAeSKum"
"3L55D8AUFCHHB4M2026Z21742MXCYN","327KZ3ZBR5NU0V8QCZWJXUKE4F2PJX","Image Similarity","Select which of two images is most similar to a third image","Image Comparisons","$1.00","Mon Jul 15 16:00:40 PDT 2019","10","BatchId:3705819;OriginalHitTemplateId:920937340;","1800","259200","Tue Jul 16 16:00:40 PDT 2019","","","3S0TNUHWKW2FNAZSDW8ICEX6WNF8DS","A1S1O9ZCONEGE3","Submitted","Mon Jul 15 16:40:51 PDT 2019","Mon Jul 15 17:08:21 PDT 2019","Thu Jul 18 17:08:21 PDT 2019","","","","1650","0% (0/0)","0% (0/0)","0% (0/0)","2svlqZFfWFnOSwMOu5e8DpMoQA1V4P"
"3L55D8AUFCHHB4M2026Z21742MXCYN","327KZ3ZBR5NU0V8QCZWJXUKE4F2PJX","Image Similarity","Select which of two images is most similar to a third image","Image Comparisons","$1.00","Mon Jul 15 16:00:40 PDT 2019","10","BatchId:3705819;OriginalHitTemplateId:920937340;","1800","259200","Tue Jul 16 16:00:40 PDT 2019","","","3TVSS0C0E4KXU0R7XPO3VYIEHHVTW2","A35OB2K0VRY8M2","Submitted","Mon Jul 15 18:15:41 PDT 2019","Mon Jul 15 18:41:48 PDT 2019","Thu Jul 18 18:41:48 PDT 2019","","","","1567","100% (1/1)","100% (1/1)","0% (0/0)","Tr3UK5eZuhyINnbvrqJAeKpaV7kTNG"
"3L55D8AUFCHHB4M2026Z21742MXCYN","327KZ3ZBR5NU0V8QCZWJXUKE4F2PJX","Image Similarity","Select which of two images is most similar to a third image","Image Comparisons","$1.00","Mon Jul 15 16:00:40 PDT 2019","10","BatchId:3705819;OriginalHitTemplateId:920937340;","1800","259200","Tue Jul 16 16:00:40 PDT 2019","","","3U088ZLJVNDWERUGZN0TBNG9K5YW0R","AA6K05EFNJ3T0","Submitted","Mon Jul 15 16:00:59 PDT 2019","Mon Jul 15 16:21:20 PDT 2019","Thu Jul 18 16:21:20 PDT 2019","","","","1221","0% (0/0)","0% (0/0)","0% (0/0)","gYEB0jwX0v4Dp0ULXF8Pk4gBID4F0p"
